Date,S&P PUT-CALL RATIO,S&P PUT VOLUME,S&P CALL VOLUME,PREV. DAY OPEN INTEREST
2013-10-17,1.24,912667.0,736275.0,1648942.0
2013-10-16,1.59,840864.0,529786.0,1370650.0
2013-10-15,1.48,556365.0,375255.0,931620.0
2013-10-14,1.44,546662.0,378660.0,925322.0
2013-10-11,1.9,588211.0,308838.0,897049.0
2013-10-10,1.45,694167.0,480045.0,1174212.0
2013-10-09,1.68,675931.0,401949.0,1077880.0
2013-10-08,1.59,640285.0,401970.0,1042255.0
2013-10-07,2.04,386981.0,189401.0,576382.0
2013-10-04,1.77,506533.0,285531.0,792064.0
2013-10-03,1.54,564293.0,365782.0,930075.0
2013-10-02,1.43,456204.0,318708.0,774912.0
2013-10-01,1.79,476134.0,266013.0,742147.0
2013-09-30,2.4,577741.0,240385.0,818126.0
2013-09-27,1.85,586718.0,317767.0,904485.0
2013-09-26,1.35,400638.0,295876.0,696514.0
2013-09-25,1.99,451853.0,227122.0,678975.0
2013-09-24,1.52,364334.0,239787.0,604121.0
2013-09-23,2.09,489928.0,233948.0,723876.0
2013-09-20,1.8,574639.0,319126.0,893765.0
2013-09-19,0.96,603757.0,629429.0,1233186.0
2013-09-18,1.04,744312.0,718486.0,1462798.0
2013-09-17,1.55,457244.0,294872.0,752116.0
2013-09-16,1.22,555268.0,453962.0,1009230.0
2013-09-13,1.45,354486.0,244399.0,598885.0
2013-09-12,1.4,431250.0,307066.0,738316.0
2013-09-11,1.4,598335.0,427608.0,1025943.0
2013-09-10,1.43,534100.0,372272.0,906372.0
2013-09-09,1.32,306055.0,231716.0,537771.0
2013-09-06,1.61,535437.0,333440.0,868877.0
2013-09-05,1.98,421359.0,212320.0,633679.0
2013-09-04,1.54,404240.0,261754.0,665994.0
2013-09-03,2.03,414491.0,204032.0,618523.0
2013-08-30,2.12,437133.0,206288.0,643421.0
2013-08-29,1.83,385188.0,210103.0,595291.0
2013-08-28,1.14,419545.0,367866.0,787411.0
2013-08-27,1.7,663285.0,389211.0,1052496.0
2013-08-26,2.0,275924.0,138126.0,414050.0
2013-08-23,2.1,399958.0,190691.0,590649.0
2013-08-22,1.7,404745.0,238528.0,643273.0
2013-08-21,2.41,740639.0,307312.0,1047951.0
2013-08-20,1.72,380219.0,220980.0,601199.0
2013-08-19,1.76,473073.0,268401.0,741474.0
2013-08-16,1.91,608286.0,319157.0,927443.0
